username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
DownWithData,2017-09-12 20:31,0,0,"This is all you'll get, not very helpful pic.twitter.com/8o12trUs5Z",,,,"907763588441526273",https://twitter.com/DownWithData/status/907763588441526273
jehath45,2017-09-12 20:30,0,0,"We r both 72 in a red circle restored 9/18. We are both heat stressed, I can't get gen started and it's not nuf for a.c., help idea",,,,"907763445457723392",https://twitter.com/jehath45/status/907763445457723392
KissMyRedRose,2017-09-12 20:29,0,0,"@TampaElectric thanks for not restoring our power even though I have an assignment and it's been out 3 days now on west shore .",,@TampaElectric,,"907763187658915840",https://twitter.com/KissMyRedRose/status/907763187658915840
DportCowboyFanz,2017-09-12 20:29,0,0,"Damn. That sucks. Well if you're around Carrollwood and want a hot plate my wife is getting ready to cook. Saw your vid. U look trustworthy",,,,"907763179765329922",https://twitter.com/DportCowboyFanz/status/907763179765329922
queenzingha,2017-09-12 20:28,2,5,"Day 3 of no power .... @TampaElectric",,@TampaElectric,,"907762960822661121",https://twitter.com/queenzingha/status/907762960822661121
TommyL4,2017-09-12 20:28,0,3,"Unless you know enough to lock out primary connection to the grid.",,,,"907762829910056960",https://twitter.com/TommyL4/status/907762829910056960
old_warrior1,2017-09-12 20:27,0,0,"@TampaElectric please prioritize the vulnerable people at 20th and Fletcher in Tampa! They need help the most at this time. Please help!",,@TampaElectric,,"907762503513452544",https://twitter.com/old_warrior1/status/907762503513452544
loveall_serveal,2017-09-12 20:26,0,0,"What is the timeframe for service being restored to all customers?",,,,"907762407795290112",https://twitter.com/loveall_serveal/status/907762407795290112
chuckdilullo,2017-09-12 20:26,0,0,"Kudos to ALL the responders & leaders before, during & after the storm....but don't ask for a rate hike.",,,,"907762382629474304",https://twitter.com/chuckdilullo/status/907762382629474304
DownWithData,2017-09-12 20:26,0,0,"#FakeNews LOL",,,#FakeNews,"907762363021094914",https://twitter.com/DownWithData/status/907762363021094914
Nicolempalmeri,2017-09-12 20:25,0,0,"@TampaElectric saw so many power trucks today. Oddly enough not one Spectrum truck. Thank those linemen for me for all they do!!",,@TampaElectric,,"907762204925218816",https://twitter.com/Nicolempalmeri/status/907762204925218816
ScottGrovesCO,2017-09-12 20:21,0,0,"Nope. What a lot of people are saying is Sunday night we'll have it back.",,,,"907761199030423552",https://twitter.com/ScottGrovesCO/status/907761199030423552
jazzebufi,2017-09-12 20:21,0,0,"Where/how can an evacuated family find out when/if their power has been restored?",,,,"907761092528656384",https://twitter.com/jazzebufi/status/907761092528656384
myquilks,2017-09-12 20:20,0,0,"Thanks @TampaElectric for all the hard work you're doing to help our community. Any chance you have an update on Pebble Creek?",,@TampaElectric,,"907760874638778369",https://twitter.com/myquilks/status/907760874638778369
DportCowboyFanz,2017-09-12 20:18,0,0,"#FuckTeco #TecoSucks",,,#FuckTeco #TecoSucks,"907760298525954050",https://twitter.com/DportCowboyFanz/status/907760298525954050
NinaEnc3416,2017-09-12 20:16,0,3,"You all done NOTHING. They told us we have power yesterday & we still waiting..Veterans & disabled live here with oxygen tanks & NO POWER",,,,"907759982787133440",https://twitter.com/NinaEnc3416/status/907759982787133440
4self78,2017-09-12 20:16,0,0,"72 come it's Florida 77-78 all year round in the house",,,,"907759837580283904",https://twitter.com/4self78/status/907759837580283904
Mikerium_,2017-09-12 20:14,0,0,"@TampaElectric Lakeview oaks near USF does not explicitly show outage on your map. Are you aware that we have no power?",,@TampaElectric,,"907759457781911552",https://twitter.com/Mikerium_/status/907759457781911552
HollaBucks,2017-09-12 20:11,0,0,"3.5 streets in my community now in hour 45 of no power. Everything else around us lit up like Xmas. @TampaElectric",,@TampaElectric,,"907758504399777792",https://twitter.com/HollaBucks/status/907758504399777792
ckinneywork2,2017-09-12 20:08,0,0,"@TampaElectric - Any news as to when power will be back on in Tampa Heights?",,@TampaElectric,,"907757814499569664",https://twitter.com/ckinneywork2/status/907757814499569664
emily_rhiannon,2017-09-12 20:03,0,0,"Good job y'all!!",,,,"907756557873577984",https://twitter.com/emily_rhiannon/status/907756557873577984
Jordan_is_me_,2017-09-12 20:01,0,1,"@TampaElectric so you're just gonna cut the power in tampa heights a couple hours after turning it back on? Smh",,@TampaElectric,,"907756047653330944",https://twitter.com/Jordan_is_me_/status/907756047653330944
TampaElectric,2017-09-12 20:00,10,8,"Do not connect your portable generator into your home’s circuits. Plug appliances directly into the generator. #Irma http:// ht.ly/I0Mh30eYMHn pic.twitter.com/qIKVwdPPVC",,,#Irma,"907755919194378240",https://twitter.com/TampaElectric/status/907755919194378240
WesQuerns,2017-09-12 20:00,0,0,"@TampaElectric Our son called for 2-days about downed power lines on his damaged house. No response from your office. Isn't that a priority?",,@TampaElectric,,"907755728927989760",https://twitter.com/WesQuerns/status/907755728927989760
annkessler2,2017-09-12 19:57,0,1,"Are you coming back to N.Y. tonight",,,,"907755021017731072",https://twitter.com/annkessler2/status/907755021017731072
charissemarie,2017-09-12 19:53,0,0,"I survived #HurricaneIrma and now have my power restored after a hellish 2 days. Thank you @TampaElectric",,@TampaElectric,#HurricaneIrma,"907754108307861505",https://twitter.com/charissemarie/status/907754108307861505
JamieRodriguez6,2017-09-12 19:51,0,1,"I know you are working hard to get power going but how long b4 The Reserve in Willow Oak in Polk County gets power?",,,,"907753541426716672",https://twitter.com/JamieRodriguez6/status/907753541426716672
DportCowboyFanz,2017-09-12 19:50,0,0,"Any power yet? Just wondering.",,,,"907753196889800704",https://twitter.com/DportCowboyFanz/status/907753196889800704
mycrowgirl,2017-09-12 19:47,1,3,"And the @TampaElectric said "Let There Be Light" (and AC and Internet) https:// youtu.be/IUZEtVbJT5c",,@TampaElectric,,"907752467923968000",https://twitter.com/mycrowgirl/status/907752467923968000
EdBembrey,2017-09-12 19:44,0,2,"@TampaElectric power outage in Tampa Heights after being turned back on. Is there a reason for this?",,@TampaElectric,,"907751820298211328",https://twitter.com/EdBembrey/status/907751820298211328
alexpaluzzi,2017-09-12 19:43,0,0,"@TampaElectric myself and neighbors have all reported outage but we're nowhere near a dot on the map. We're all in blue circle. Which one? pic.twitter.com/HPlqoEs5y4",,@TampaElectric,,"907751484657414145",https://twitter.com/alexpaluzzi/status/907751484657414145
JenniferOney,2017-09-12 19:42,1,0,"Please don't forget about the tiny town of north Auburndale in polk county. Out of power! Always forgotten. Always helped last. #Irma",,,#Irma,"907751378050842624",https://twitter.com/JenniferOney/status/907751378050842624
PINENIPPLESS,2017-09-12 19:42,0,3,"we had power and then you cut it off a minute later...ummmm???",,,,"907751183099596802",https://twitter.com/PINENIPPLESS/status/907751183099596802
OctoTrader,2017-09-12 19:41,0,0,"I'm surprised you don't have a whole house automatic generator.",,,,"907751008620695552",https://twitter.com/OctoTrader/status/907751008620695552
PublicSchoolSup,2017-09-12 19:38,0,1,"TY @insideFPL , @DukeEnergy , @GulfPower , @TampaElectric & local municipalities/coops working hard to 'power' our schools & communities. https:// twitter.com/flsert/status/ 907726644785369088 …",,@insideFPL @DukeEnergy @GulfPower @TampaElectric,,"907750207387049984",https://twitter.com/PublicSchoolSup/status/907750207387049984
GoCartMozart35,2017-09-12 19:37,1,5,"Fake news",,,,"907750099765415936",https://twitter.com/GoCartMozart35/status/907750099765415936
Bhail8,2017-09-12 19:33,0,0,"Any word on restoring power to San Antonio? I reported a line down in my driveway yesterday and today.",,,,"907749073867956226",https://twitter.com/Bhail8/status/907749073867956226
mkempey,2017-09-12 19:32,0,0,"Is @TampaElectric working into the night to resolve power? Or is it strictly during the day? Also where is work being focused on?",,@TampaElectric,,"907748775296487425",https://twitter.com/mkempey/status/907748775296487425
NewtSports,2017-09-12 19:32,0,0,"They must be bored because when I call it's automated and never gives an option to speak with someone before it automatically hangs up.",,,,"907748731621183488",https://twitter.com/NewtSports/status/907748731621183488
starlahex,2017-09-12 19:32,0,0,"We lost power way before Irma and still no crews here. What's up?",,,,"907748671206379521",https://twitter.com/starlahex/status/907748671206379521
Intj_darius,2017-09-12 19:31,1,8,"What happened to the "comprehensive storm plan" to deal with a CAT 5 hurricane?",,,,"907748558929100802",https://twitter.com/Intj_darius/status/907748558929100802
NewtSports,2017-09-12 19:30,0,3,"Simply not true you've claimed an area in Carrollwood of over 7000 people as restored but still there's no power",,,,"907748350375743490",https://twitter.com/NewtSports/status/907748350375743490
thewhizkidforte,2017-09-12 19:29,0,0,"2 full days without power in Dover, but not without hope. Those in the same situation, try to cultivate patience. #NationalEncouragementDay",,,#NationalEncouragementDay,"907747908895813632",https://twitter.com/thewhizkidforte/status/907747908895813632
HvinAMorganMomt,2017-09-12 19:28,0,2,"Either your taking credit for power restored in areas other then TECOs or your Outage Map is another one of your services that does work.",,,,"907747768353132544",https://twitter.com/HvinAMorganMomt/status/907747768353132544
jzhill,2017-09-12 19:27,0,0,"@TampaElectric our 93 yr old grandmother lives with us and we haven't had power for almost 48 hrs now. All the surrounding houses have power",,@TampaElectric,,"907747561422942208",https://twitter.com/jzhill/status/907747561422942208
Mickjon54883918,2017-09-12 19:27,0,4,"Kelly, do you believe this ? Why tomorrow ? Why has it taken so long ?",,,,"907747535191670786",https://twitter.com/Mickjon54883918/status/907747535191670786
KRPhillips13,2017-09-12 19:27,0,0,"Thank you for all your hard work!",,,,"907747427943362560",https://twitter.com/KRPhillips13/status/907747427943362560
KRPhillips13,2017-09-12 19:26,0,2,"We'd love to see you guys over in Mulberry as soon as possible!! Almost 5k in that one area without power!!",,,,"907747382439399425",https://twitter.com/KRPhillips13/status/907747382439399425
freechickk,2017-09-12 19:20,0,0,"Thank you very much for the update. Yes, you can hear our desparation turning to irateness, but nonetheless, Thank you",,,,"907745845084409857",https://twitter.com/freechickk/status/907745845084409857
freechickk,2017-09-12 19:18,0,0,"THANK YOU SO MUCH!!",,,,"907745295030775808",https://twitter.com/freechickk/status/907745295030775808
piesandmiles,2017-09-12 19:17,0,12,"came to my neighborhood and just put up caution tape up and drove off..thanks",,,,"907745080584400898",https://twitter.com/piesandmiles/status/907745080584400898
TampaElectric,2017-09-12 19:14,22,78,"We have restored service to 40 percent of the 425,000 customers who lost power during #Irma . Thank you for your patience. pic.twitter.com/egwwVeCGcZ",,,#Irma,"907744333167828998",https://twitter.com/TampaElectric/status/907744333167828998
JulieREnszer,2017-09-12 19:14,0,0,"@TampaElectric yay! Power restored in just 48 hours. You all brought the a game. We are grateful customers!",,@TampaElectric,,"907744196337061888",https://twitter.com/JulieREnszer/status/907744196337061888
adamsnucleus,2017-09-12 19:14,0,1,"How do I get ahold of this call center? All of your current numbers are automated...",,,,"907744183989030912",https://twitter.com/adamsnucleus/status/907744183989030912
piesandmiles,2017-09-12 19:14,0,0,"So today @TampaElectric came by and just put up some caution tape @TBOcom pic.twitter.com/KqzLT1Bd5m",,@TampaElectric @TBOcom,,"907744163378208768",https://twitter.com/piesandmiles/status/907744163378208768
NewtSports,2017-09-12 19:13,1,0,"@TampaElectric stop updating the outage map if you haven't restored power. We've rushed home twice now to a home with no power.",,@TampaElectric,,"907743994414743553",https://twitter.com/NewtSports/status/907743994414743553
ScottGrovesCO,2017-09-12 19:12,0,1,"Which they will demand I pay on time or they will shut off my service. Don't you all love this bullshit?",,,,"907743861509947392",https://twitter.com/ScottGrovesCO/status/907743861509947392
losbear,2017-09-12 19:12,0,0,"All those trucks should be out restoring power!!!!! NOT posing for a freaking video!!!!",,,,"907743816257597450",https://twitter.com/losbear/status/907743816257597450
piesandmiles,2017-09-12 19:12,0,0,"That didn't happen...today I called @TampaElectric and they said oh we are aware of the issue but we will put in another ticket @TBOcom",,@TampaElectric @TBOcom,,"907743640641994752",https://twitter.com/piesandmiles/status/907743640641994752
ScottGrovesCO,2017-09-12 19:11,0,1,"These bastards will probably add all kinds of fees to my next bill.",,,,"907743550619746304",https://twitter.com/ScottGrovesCO/status/907743550619746304
Asianbeauty1989,2017-09-12 19:11,0,0,"How about canning plant rd on seffner",,,,"907743379425038338",https://twitter.com/Asianbeauty1989/status/907743379425038338
piesandmiles,2017-09-12 19:10,0,0,"The first day @TampaElectric sent two trucks with employees after 8pm who promised us they will be back in the am to repair @TBOcom",,@TampaElectric @TBOcom,,"907743231361908736",https://twitter.com/piesandmiles/status/907743231361908736
mbsbp10,2017-09-12 19:09,0,0,"Thank You!!! Truly Appreciate you all",,,,"907743026684026880",https://twitter.com/mbsbp10/status/907743026684026880
ScottGrovesCO,2017-09-12 19:09,0,1,"I see @TECOEnergy and @TampaElectric are putting out the PR because they refuse to work at night.",,@TECOEnergy @TampaElectric,,"907743024909873153",https://twitter.com/ScottGrovesCO/status/907743024909873153
piesandmiles,2017-09-12 19:09,0,0,"So I've called @TampaElectric 4xs because they are perfectly okay with my neighborhood having a power pole broken in three piece @TBOcom",,@TampaElectric @TBOcom,,"907742987110809600",https://twitter.com/piesandmiles/status/907742987110809600
4evernilecia,2017-09-12 19:08,0,0,"pic.twitter.com/aoyR9zinEl",,,,"907742644541050880",https://twitter.com/4evernilecia/status/907742644541050880
_ChristyMichele,2017-09-12 19:08,0,0,"Yay! It was 85° in my house when mine was restored late this afternoon.",,,,"907742643362332673",https://twitter.com/_ChristyMichele/status/907742643362332673
ScottGrovesCO,2017-09-12 19:07,0,5,"I guess you all are afraid of the dark, not helping get us power tonight?",,,,"907742457605103623",https://twitter.com/ScottGrovesCO/status/907742457605103623
BeardedTek,2017-09-12 19:05,0,0,"@TampaElectric out doing the Lord's work today. #yaypower @TMobile quit slacking and fix the tower",,@TampaElectric @TMobile,#yaypower,"907742107137400833",https://twitter.com/BeardedTek/status/907742107137400833
Skeletoots,2017-09-12 19:05,0,0,"Ayyy and it's back Thank you @TampaElectric for my life.",,@TampaElectric,,"907741906918133760",https://twitter.com/Skeletoots/status/907741906918133760
JakeWazzu,2017-09-12 19:04,0,1,"Thanks. Rub it in......",,,,"907741807001382912",https://twitter.com/JakeWazzu/status/907741807001382912
fluffymich,2017-09-12 19:04,0,0,"@TampaElectric my area still has no electric.. my fish are literally dying you better pay their life insurance",,@TampaElectric,,"907741754635546624",https://twitter.com/fluffymich/status/907741754635546624
813Hayden,2017-09-12 19:04,0,0,"@TampaElectric A BIG Thank You to all the Men and Woman working so hard to restore power & allowing families to return to normalcy.",,@TampaElectric,,"907741630840668160",https://twitter.com/813Hayden/status/907741630840668160
TampaElectric,2017-09-12 19:00,5,8,"Stay out of floodwaters that can hide energized power lines. Get more tips on our Storm Safety page. #Irma http:// ht.ly/58SE30f0Q4d pic.twitter.com/eJurB5U5W1",,,#Irma,"907740768638468097",https://twitter.com/TampaElectric/status/907740768638468097
Noodle_tini,2017-09-12 18:53,0,2,"Out all day trying to find an open store across town and didn't see one truck working on the power anywhere",,,,"907738978463383553",https://twitter.com/Noodle_tini/status/907738978463383553
httpmichael1k,2017-09-12 18:49,0,2,"GO TO DOVER PLZ!?! Thxsssss",,,,"907737991757561857",https://twitter.com/httpmichael1k/status/907737991757561857
iamatwin,2017-09-12 18:48,0,0,"pic.twitter.com/N3c9flZagg",,,,"907737715537477632",https://twitter.com/iamatwin/status/907737715537477632
theelifeofbrian,2017-09-12 18:47,0,0,"@TampaElectric yeah so we never lost power in the storm. So if you could chill with turning it on and off now, that would be great. Thanks.",,@TampaElectric,,"907737468258136064",https://twitter.com/theelifeofbrian/status/907737468258136064
Lola_Cage,2017-09-12 18:47,0,0,"Yay! Congrats!",,,,"907737364088475648",https://twitter.com/Lola_Cage/status/907737364088475648
eshaw1950,2017-09-12 18:45,0,0,"Done a great job. We appreciate their hard work.",,,,"907736832636542976",https://twitter.com/eshaw1950/status/907736832636542976
floridamurph,2017-09-12 18:44,0,1,"72? That's a meat locker temp.",,,,"907736747777429509",https://twitter.com/floridamurph/status/907736747777429509
djfiniki,2017-09-12 18:42,0,0,"@TampaElectric you are a worthless power company who monopolies neighborhoods. No damage done here + power is out two days. Everyoneelsehas.",,@TampaElectric,,"907736299049766914",https://twitter.com/djfiniki/status/907736299049766914
RuffesFOX13,2017-09-12 18:40,0,52,"God bless the Pike linemen!! Let the AC flow!! @TampaElectric #powerson #bestdayever pic.twitter.com/NVsyoQCNMn",,@TampaElectric,#powerson #bestdayever,"907735761092521985",https://twitter.com/RuffesFOX13/status/907735761092521985
bobsharko,2017-09-12 18:39,0,0,"I've been watching like 6 Pike guys sit and hangout outside my house for about an hour.",,,,"907735525922131973",https://twitter.com/bobsharko/status/907735525922131973
ScottGrovesCO,2017-09-12 18:39,0,5,"These trucks aren't helping everyone when they're freaking parked!",,,,"907735494137716736",https://twitter.com/ScottGrovesCO/status/907735494137716736
nessita777,2017-09-12 18:39,0,1,"We got our power back!!Thank you to your crews and all their hard work. It's appreciated!!",,,,"907735447606120449",https://twitter.com/nessita777/status/907735447606120449
RuffesFOX13,2017-09-12 18:38,0,0,"Ditto!!!",,,,"907735149978308609",https://twitter.com/RuffesFOX13/status/907735149978308609
BHauserG8r,2017-09-12 18:34,0,0,"Could we please get a Waterchase (Racetrack Rd) update?",,,,"907734150936977412",https://twitter.com/BHauserG8r/status/907734150936977412
LuieFig,2017-09-12 18:30,0,0,"Just area specific updates would be a nice thing. Understand that this is an emergency situation but communication is key!",,,,"907733175484518401",https://twitter.com/LuieFig/status/907733175484518401
skipopot2mus,2017-09-12 18:27,0,0,"When I asked them they told me either tonight or first thing tomorrow ours would be back",,,,"907732395176099841",https://twitter.com/skipopot2mus/status/907732395176099841
Matt_Knowles10,2017-09-12 18:25,0,0,"Where did you go to get the estimate?",,,,"907731936780673024",https://twitter.com/Matt_Knowles10/status/907731936780673024
sufaninsanann44,2017-09-12 18:25,0,0,"@TampaElectric Still no power in San Antonio. Withlacochee Electric has the rest of the surrounding area up and running.",,@TampaElectric,,"907731918514507776",https://twitter.com/sufaninsanann44/status/907731918514507776
LindseyWight,2017-09-12 18:24,0,2,"Between @CityofTampa & @TampaElectric they aren't doing their jobs by keeping the community of Tampa Heights safe. Trees growing in lines! https:// twitter.com/dylanchase1991 /status/907729991806455808 …",,@CityofTampa @TampaElectric,,"907731661680467970",https://twitter.com/LindseyWight/status/907731661680467970
alexpaluzzi,2017-09-12 18:23,0,0,"They all say that. Hopefully it's much sooner than that. I need running water.",,,,"907731316606504961",https://twitter.com/alexpaluzzi/status/907731316606504961
LisaFigueredo,2017-09-12 18:21,1,3,"Awesome so are they all still parked there because I haven't seen one in West Tampa!!",,,,"907730894840123392",https://twitter.com/LisaFigueredo/status/907730894840123392
Farashajameela,2017-09-12 18:21,0,0,"@TampaElectric Much respect to you & the crews from other states who have been working so hard to restore power after Irma. #ThankYou",,@TampaElectric,#ThankYou,"907730845171159040",https://twitter.com/Farashajameela/status/907730845171159040
DylanChase1991,2017-09-12 18:20,0,0,"@TampaElectric let #tampa city trees grow. Bc you didn't stay on top of the issue your company will be spending x4 the amount to fix it now.",,@TampaElectric,#tampa,"907730774983626753",https://twitter.com/DylanChase1991/status/907730774983626753
LuieFig,2017-09-12 18:19,0,0,"But when will they get to Highland Park! Stressful Anticipation!!",,,,"907730299546738689",https://twitter.com/LuieFig/status/907730299546738689
F1BDaniels,2017-09-12 18:18,0,3,"#Irma was a major storm leaving a disaster behind. Thanks to @TampaElectric and @CityofTampa for hand holding and recovery. https:// twitter.com/tampaelectric/ status/907729740206833665 …",,@TampaElectric @CityofTampa,#Irma,"907730252297854976",https://twitter.com/F1BDaniels/status/907730252297854976
TampaElectric,2017-09-12 18:16,3,25,"Massive number of crews at a Tampa Electric staging area will help restore service. Welcome! https:// m.youtube.com/watch?v=sUZg41 jprMY …",,,,"907729740206833665",https://twitter.com/TampaElectric/status/907729740206833665
skipopot2mus,2017-09-12 18:15,0,0,"It was on my street I talked to them myself but now the site says midnight on Sunday is the estimate",,,,"907729438976167937",https://twitter.com/skipopot2mus/status/907729438976167937
alexpaluzzi,2017-09-12 18:11,0,0,"That's promising. Where was the truck? I saw one yesterday on Crawley but it's gone now.",,,,"907728516996845568",https://twitter.com/alexpaluzzi/status/907728516996845568
ipotus69,2017-09-12 18:08,0,0,"This is Hillsborough county wher its all corrupted from nmbrs to politicians",,,,"907727694581911552",https://twitter.com/ipotus69/status/907727694581911552
CarlosGoTampa,2017-09-12 18:07,0,0,"@TampaElectric when will power be restored in the W Cypress & MacDill Ave area?",,@TampaElectric,,"907727295380688896",https://twitter.com/CarlosGoTampa/status/907727295380688896
neoalertt,2017-09-12 18:05,0,0,"When is the power in 33570 coming back on?",,,,"907726807151120384",https://twitter.com/neoalertt/status/907726807151120384
TampaElectric,2017-09-12 18:00,2,5,"#WeStandReady with extra call center representatives available to assist with outages and any other requests for assistance. #Irma pic.twitter.com/8e8oUBwyhD",,,#WeStandReady #Irma,"907725697799598080",https://twitter.com/TampaElectric/status/907725697799598080
ScottGrovesCO,2017-09-12 18:00,0,0,"Our little bunny, Rollo, is so hot and miserable. Thanks, @TECOEnergy and @TampaElectric pic.twitter.com/0dEnwZ8wqW",,@TECOEnergy @TampaElectric,,"907725546121035776",https://twitter.com/ScottGrovesCO/status/907725546121035776
tdg_bd,2017-09-12 17:59,0,1,"@CityofTampa @TampaElectric I have never been happier to receive a high temperature notification from my AC. It means power is on! pic.twitter.com/jRoBQQJ8qV",,@CityofTampa @TampaElectric,,"907725453414330369",https://twitter.com/tdg_bd/status/907725453414330369
eceejay1,2017-09-12 17:59,1,1,"I've been driving around S. Tampa over the past 2 days, no TECO truck sighted. So where are they?",,,,"907725297688162307",https://twitter.com/eceejay1/status/907725297688162307
LamboLaw,2017-09-12 17:58,0,0,"This baby is battling cancer. Please put Wellswood on you list and move them to next. Got a generator so the fans r blowing. He needs A/C pic.twitter.com/aZMvTW4q1Q",,,,"907725189181517827",https://twitter.com/LamboLaw/status/907725189181517827
mrmrs_sefcovic,2017-09-12 17:58,0,0,"Please restore power in Auburndale,FL there's a tree on a power line down old dixie hwy..the whole hwy &roads leading down it are out",,,,"907725172777603073",https://twitter.com/mrmrs_sefcovic/status/907725172777603073
duran_bailey,2017-09-12 17:57,0,0,"They are the county and they all suck with money and scheduling shit so don't get Happy until we figure out how we have to make up the days",,,,"907724968061960197",https://twitter.com/duran_bailey/status/907724968061960197
carlosjg21,2017-09-12 17:57,0,0,"3days without power get your shit together @TampaElectric",,@TampaElectric,,"907724863514791941",https://twitter.com/carlosjg21/status/907724863514791941
mellamolopeza,2017-09-12 17:56,0,0,"@TampaElectric Was the down power line on 7904 N Fremont Ave repaired yet? It's right in front of my house. I can't get back home yet.",,@TampaElectric,,"907724591933673474",https://twitter.com/mellamolopeza/status/907724591933673474
LameDanneh,2017-09-12 17:54,0,0,"SHHHH",,,,"907724245362515969",https://twitter.com/LameDanneh/status/907724245362515969
cruise4life2006,2017-09-12 17:54,1,0,"@FLGovScott no @TampaElectric since Sunday, CS reps lie that crews out in Polk City, NO ONE TECO person/truck here, Ridiculous hot no AC",,@FLGovScott @TampaElectric,,"907724028755841029",https://twitter.com/cruise4life2006/status/907724028755841029
azirosaa,2017-09-12 17:53,0,0,"Thanl you :)",,,,"907723944723185664",https://twitter.com/azirosaa/status/907723944723185664
ijmeray,2017-09-12 17:53,0,0,"@TampaElectric I signed up for texting updates on outages. Received none for 2 days so far except "signed up". Are your texts working?",,@TampaElectric,,"907723868667817987",https://twitter.com/ijmeray/status/907723868667817987
Mitchell_Miller,2017-09-12 17:50,0,1,"Thank you from Carrollwood.",,,,"907723070403739648",https://twitter.com/Mitchell_Miller/status/907723070403739648
mycrowgirl,2017-09-12 17:49,0,1,"Know could still be days till back on but seeing @TampaElectric working nearby gives hope. We know they're doing their best! #TampaStrong",,@TampaElectric,#TampaStrong,"907722952912855041",https://twitter.com/mycrowgirl/status/907722952912855041
chiplover44,2017-09-12 17:48,0,0,"How's it going! Keeping you in prayer!",,,,"907722671483490307",https://twitter.com/chiplover44/status/907722671483490307
crowligans,2017-09-12 17:47,1,5,"Sad that a @TampaElectric truck driving down the street had me running to the door faster than the ice cream truck did when I was a kid...",,@TampaElectric,,"907722434727596034",https://twitter.com/crowligans/status/907722434727596034
Tamagni4ed,2017-09-12 17:47,0,0,"Hang in there, friend!",,,,"907722410430013440",https://twitter.com/Tamagni4ed/status/907722410430013440
Mamisloveof2,2017-09-12 17:45,0,2,"Get your priorities straight @TampaElectric https:// twitter.com/capitala__/sta tus/907716466795061248 …",,@TampaElectric,,"907721950914646016",https://twitter.com/Mamisloveof2/status/907721950914646016
skipopot2mus,2017-09-12 17:45,0,1,"About three hours ago there was a truck in the Odessa area checking lines, still no power though",,,,"907721934384791552",https://twitter.com/skipopot2mus/status/907721934384791552
mycrowgirl,2017-09-12 17:45,0,3,"#TFW you see a @TampaElectric truck on your street after #HurricaneIrma #LightAtTheEndOfTheTunnel",,@TampaElectric,#TFW #HurricaneIrma #LightAtTheEndOfTheTunnel,"907721803442921472",https://twitter.com/mycrowgirl/status/907721803442921472
duran_bailey,2017-09-12 17:44,0,0,"Dude we have to make up seven days now you know that right",,,,"907721555043606528",https://twitter.com/duran_bailey/status/907721555043606528
TRomeril84,2017-09-12 17:41,0,0,"Riverview Lakes 48 hours and counting without power @TampaElectric",,@TampaElectric,,"907720855848996864",https://twitter.com/TRomeril84/status/907720855848996864
SuperJohnny123,2017-09-12 17:38,0,0,"Except for communities of poor, non white -all they are rushing to do is big $$ neighborhoods & buildings with high numbers of whites!",,,,"907720167647522816",https://twitter.com/SuperJohnny123/status/907720167647522816
K733Boogie,2017-09-12 17:36,0,0,"They just got us up and running in Atlanta. Love these guys.",,,,"907719563361615872",https://twitter.com/K733Boogie/status/907719563361615872
jeremycec,2017-09-12 17:35,0,0,"sorry man",,,,"907719449037471744",https://twitter.com/jeremycec/status/907719449037471744
jkstitt,2017-09-12 17:34,0,0,"Had to take it off private. You should be able to now.",,,,"907719196515205121",https://twitter.com/jkstitt/status/907719196515205121
justjosh941,2017-09-12 17:32,0,0,"Why can't it be retweeted?",,,,"907718698487742465",https://twitter.com/justjosh941/status/907718698487742465
FinnDen,2017-09-12 17:30,0,0,"Thank you from Cherry Creek subdivision! Power was restored at 5:00",,,,"907717980603240449",https://twitter.com/FinnDen/status/907717980603240449
ScottGrovesCO,2017-09-12 17:30,0,1,"Teco trucks staged at the State Fairgrounds on 9/12 not doing a damn thing https:// youtu.be/UJmGnnXShkI",,,,"907717970541076480",https://twitter.com/ScottGrovesCO/status/907717970541076480
ScottGrovesCO,2017-09-12 17:29,0,0,"@TampaElectric Teco trucks staged at the State Fairgrounds on 9/12 not doing a damn thing https:// youtu.be/UJmGnnXShkI",,@TampaElectric,,"907717897665093632",https://twitter.com/ScottGrovesCO/status/907717897665093632
EducatorMcClain,2017-09-12 17:29,0,0,"",,,,"907717773282959360",https://twitter.com/EducatorMcClain/status/907717773282959360
eapwildechilde,2017-09-12 17:26,0,0,"Still no power after #Irma but @TampaElectric is hard at work. I have water, so I'm gonna cold shower cuz it's HOT. #TMITUESDAY #update",,@TampaElectric,#Irma #TMITUESDAY #update,"907716981746487301",https://twitter.com/eapwildechilde/status/907716981746487301
TheMemeLawFirm,2017-09-12 17:24,0,0,"Let the kids starve lol",,,,"907716657312911360",https://twitter.com/TheMemeLawFirm/status/907716657312911360
RepCharlieCrist,2017-09-12 17:24,2,2,". @TampaElectric hopes to restore power to essentially all customers by Sunday night. https:// twitter.com/TampaElectric/ status/907710619863982081 …",,@TampaElectric,,"907716539343933440",https://twitter.com/RepCharlieCrist/status/907716539343933440
candace_cregan,2017-09-12 17:24,0,0,"Northlakes subdivision is still without power.",,,,"907716524588388352",https://twitter.com/candace_cregan/status/907716524588388352
StormAudit,2017-09-12 17:23,0,0,"@StormAudit Fallen tree took out @TampaElectric power line on W Bay Court Ave #recover813",,@StormAudit @TampaElectric,#recover813,"907716340718477312",https://twitter.com/StormAudit/status/907716340718477312
